framework,version,device,op_name,kernel_source,nccl_dtype,num_gpus,message_size,latency
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,1048576,0.02208
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,2097152,0.03032
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,4194304,0.04915
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,8388608,0.05341
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,16777216,0.07305
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,33554432,0.11169
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,67108864,0.1906
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,134217728,0.34121
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,268435456,0.6579400000000001
TRTLLM,2.28.9,NVIDIA GB200,all_gather,NCCL,int8,2,536870912,1.2937400000000001
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,256,0.01297
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,512,0.012960000000000001
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,1024,0.01298
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,2048,0.01331
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,4096,0.013730000000000001
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,8192,0.015519999999999999
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,16384,0.01559
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,32768,0.01576
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,65536,0.01585
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,131072,0.016050000000000002
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,262144,0.01886
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,524288,0.023899999999999998
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,1048576,0.02555
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,2097152,0.03272
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,4194304,0.045810000000000003
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,8388608,0.07341
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,16777216,0.13502
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,33554432,0.25378
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,67108864,0.49126
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,134217728,0.95357
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,half,2,268435456,1.87287
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,512,0.012830000000000001
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,1024,0.01305
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,2048,0.01301
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,4096,0.01312
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,8192,0.01394
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,16384,0.01525
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,32768,0.01537
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,65536,0.01591
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,131072,0.016
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,262144,0.01607
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,524288,0.01884
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,1048576,0.02391
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,2097152,0.02555
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,4194304,0.032420000000000004
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,8388608,0.04618
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,16777216,0.07343000000000001
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,33554432,0.135
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,67108864,0.25401
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,134217728,0.49061000000000005
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,268435456,0.95457
TRTLLM,2.28.9,NVIDIA GB200,alltoall,NCCL,int8,2,536870912,1.8704800000000001
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,256,0.011130000000000001
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,512,0.01091
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,1024,0.01114
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,2048,0.01129
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,4096,0.011949999999999999
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,8192,0.0127
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,16384,0.012750000000000001
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,32768,0.012740000000000001
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,65536,0.01297
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,131072,0.01298
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,262144,0.01508
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,524288,0.0187
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,1048576,0.02574
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,2097152,0.040729999999999995
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,4194304,0.04466
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,8388608,0.058960000000000005
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,16777216,0.08925
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,33554432,0.15549000000000002
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,67108864,0.27763
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,134217728,0.53213
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,half,2,268435456,1.04253
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,int8,2,512,0.01115
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,int8,2,1024,0.01099
TRTLLM,2.28.9,NVIDIA GB200,reduce_scatter,NCCL,int8,2,2048,0.01117
