framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,backend
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,16777216,0.29074432373046877,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,16777216,0.32675838470458984,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,33554432,0.5488742446899414,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,33554432,0.6393241500854492,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,67108864,1.007820816040039,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,67108864,1.2068966674804689,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,134217728,1.9339672851562502,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,134217728,2.2349107360839846,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,268435456,3.7433242797851562,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,268435456,4.361543579101562,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,4,536870912,7.316060180664063,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,4,536870912,8.502210693359375,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,128,0.00558080017566681,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,128,0.08576000213623047,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,256,0.005437440276145935,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,256,0.08589311599731445,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,512,0.005652480125427246,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,512,0.04715519905090332,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,1024,0.0055398398637771604,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,1024,0.04702208042144775,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,2048,0.00591871976852417,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,2048,0.04861951828002929,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,4096,0.006348800063133239,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,4096,0.12605440139770507,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,8192,0.007014399766921997,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,8192,0.08683520317077636,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,16384,0.007229440212249756,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,16384,0.08461312294006348,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,32768,0.008325120210647583,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,32768,0.08484864234924316,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,65536,0.01078271985054016,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,65536,0.08437760353088379,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,131072,0.04826111793518066,vllm_graph
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_eager,float16,8,131072,0.04685823917388916,vllm_eager
vLLM,0.12.0,NVIDIA A100-SXM4-80GB,all_reduce,vLLM_custom_graph,float16,8,262144,0.018903039693832398,vllm_graph
