framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,2,128,1,float16,float16,4095,0.0264533335963885
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,2,128,1,float16,float16,8191,0.03566933423280716
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,3,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,1,0.012458667159080505
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,2,128,1,float16,float16,16383,0.040618665516376495
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,7,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,15,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,31,0.012800000607967377
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,63,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,127,0.012629333883523941
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,255,0.018432000031073887
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,511,0.018944000204404194
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,1023,0.019797333826621372
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,2047,0.022015998760859173
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,4095,0.02935466667016347
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,8191,0.03362133353948593
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,1,0.01228800043463707
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,4,128,1,float16,float16,16383,0.0481279989083608
VLLM,0.12.0,NVIDIA A100-SXM4-80GB,generation_attention,vllm_flash_attn,1,1,64,8,128,1,float16,float16,3,0.012629333883523941
