framework,version,device,op_name,kernel_source,batch_size,isl,num_heads,num_key_value_heads,head_dim,beam_width,attn_dtype,kv_cache_dtype,step,latency
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,255,0.014389333625634512
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,255,0.01594666639963786
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,511,0.016677333662907284
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,511,0.01855466639002164
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,2047,0.043807998299598694
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,2047,0.037962667644023895
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,1023,0.02380799998839696
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,7,0.013023999830087027
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,1023,0.02789866675933202
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,fp8,4095,0.05870933334032694
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,15,0.011866666376590729
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,4,128,1,float16,float16,4095,0.07377600173155467
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,1,0.016602666427691776
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,1,0.01743999992807706
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,3,0.016597333053747814
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,3,0.0173333336909612
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,float16,7,0.01210133358836174
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,7,0.016501333564519882
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,7,0.017429333180189133
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,15,0.016549333930015564
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,15,0.01752000053723653
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,31,0.016762666404247284
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,31,0.017370666066805523
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,1,128,1,float16,fp8,15,0.012885333349307379
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,63,0.01762666677435239
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,63,0.01669866715868314
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,127,0.02051199972629547
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,127,0.01717866708834966
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,255,0.020080000162124634
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,255,0.021722666919231415
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,511,0.031082667410373688
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,1023,0.04643199841181437
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,1023,0.040549332896868386
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,511,0.02757333219051361
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,2047,0.07749866445859273
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,2047,0.06136000156402588
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,float16,4095,0.13531733552614847
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,32,1,64,8,128,1,float16,fp8,4095,0.10094400246938069
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,7,0.011215999722480774
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,1,0.011029332876205444
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,fp8,1,0.011850666254758835
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,3,0.01109333336353302
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,fp8,3,0.012346666306257248
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,fp8,7,0.012367999802033106
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,15,0.011231999844312668
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,fp8,15,0.012351999680201212
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,31,0.011221333096424738
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,fp8,31,0.01227733368674914
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,255,0.012538666526476542
VLLM,0.12.0,NVIDIA H200,generation_attention,vllm_flash_attn,1,1,64,1,128,1,float16,float16,63,0.011183999478816986
